#Energy_(eV) f1 f2
4.805124023743404905e+03 -3.191638414757191011e+00 5.077317022577483296e-01
4.810084973479588371e+03 -3.217778935418697639e+00 5.067571927276798283e-01
4.815045923215773655e+03 -3.247776113343477267e+00 5.057854538228296892e-01
4.820006872951957121e+03 -3.279015955521836556e+00 5.048164747185852619e-01
4.824967822688142405e+03 -3.311105673869414900e+00 5.038503027330542006e-01
4.829928772424325871e+03 -3.344260615193800135e+00 5.028868961368442303e-01
4.834889722160511155e+03 -3.378986481214782955e+00 5.019262170123379718e-01
4.840098719383504431e+03 -3.416706567658314597e+00 5.009204277628549473e-01
4.845059669119689715e+03 -3.453988721418768115e+00 4.999663949290840681e-01
4.850020618855873181e+03 -3.492722323585673028e+00 4.990150987199255539e-01
4.854981568592058466e+03 -3.533133368377937344e+00 4.980664850085991247e-01
4.859942518328241931e+03 -3.575522273783073857e+00 4.971206067462390354e-01
4.864903468064427216e+03 -3.619792669549445119e+00 4.961777180162290080e-01
4.870112465287420491e+03 -3.668486260273533084e+00 4.951905374467437948e-01
4.875073415023603957e+03 -3.717241099533130200e+00 4.942530715659281260e-01
4.880034364759789241e+03 -3.768512702648976198e+00 4.933184589393088681e-01
4.884995314495972707e+03 -3.822558911050603303e+00 4.923868238486610593e-01
4.889956264232157992e+03 -3.879983280026606973e+00 4.914577970790535710e-01
4.894917213968341457e+03 -3.940889503690597540e+00 4.905313685960876469e-01
4.899878163704526742e+03 -4.005567626365437839e+00 4.896077537993819284e-01
4.905087160927520017e+03 -4.078298556834777600e+00 4.886409458114465698e-01
4.910048110663705302e+03 -4.152912543666811729e+00 4.877228077593874778e-01
4.915009060399888767e+03 -4.233369710743042802e+00 4.868072269858362278e-01
4.919970010136074052e+03 -4.320487983456785308e+00 4.858942171581542291e-01
4.924930959872257517e+03 -4.415970423197744132e+00 4.849837557912565211e-01
4.929891909608442802e+03 -4.521060832140455510e+00 4.840758224136444410e-01
4.935100906831436077e+03 -4.644427943538659953e+00 4.831252025621937118e-01
4.940061856567619543e+03 -4.776695942759888958e+00 4.822233193416601837e-01
4.945022806303804828e+03 -4.928286126208615059e+00 4.813241342766880759e-01
4.949983756039988293e+03 -5.104858768803397950e+00 4.804274362133959531e-01
4.954944705776173578e+03 -5.316991330530384197e+00 4.795332157002503704e-01
4.955192753262983388e+03 -5.328840471487223951e+00 4.794885695413713123e-01
4.955440800749791379e+03 -5.340963462125198014e+00 4.794439295516728095e-01
4.955688848236601189e+03 -5.353058284815208623e+00 4.793993006067894247e-01
4.955936895723410998e+03 -5.365152828590054490e+00 4.793546905210640530e-01
4.956184943210218989e+03 -5.377426081046010609e+00 4.793100865992336312e-01
4.956432990697028799e+03 -5.390066236533589183e+00 4.792654888401235436e-01
4.956681038183838609e+03 -5.402834116902820227e+00 4.792208972425673896e-01
4.956929085670646600e+03 -5.415607557370351266e+00 4.791763118053952164e-01
4.957177133157456410e+03 -5.428404559227404391e+00 4.791317325274324079e-01
4.957425180644266220e+03 -5.441591341281267091e+00 4.790871594075072348e-01
4.957673228131074211e+03 -5.455090411152767160e+00 4.790425924444506878e-01
4.957921275617884021e+03 -5.468575378514635155e+00 4.789980316370986979e-01
4.958169323104693831e+03 -5.482025991114509722e+00 4.789534769842787032e-01
4.958417370591501822e+03 -5.495872107734460776e+00 4.789089284848199179e-01
4.958665418078311632e+03 -5.510132650631187623e+00 4.788643861375528887e-01
4.958913465565121442e+03 -5.524384161262882564e+00 4.788198499413141018e-01
4.959161513051929433e+03 -5.538607584136704176e+00 4.787753198949289968e-01
4.959409560538739242e+03 -5.553246522713102706e+00 4.787307959972354476e-01
4.959657608025549052e+03 -5.568335385739357157e+00 4.786862782470590605e-01
4.959905655512357043e+03 -5.583422901358453316e+00 4.786417666432379314e-01
4.960153702999166853e+03 -5.598532760527711538e+00 4.785972611846062152e-01
4.960401750485976663e+03 -5.614125068013542830e+00 4.785527618699922381e-01
4.960649797972784654e+03 -5.630167884533070932e+00 4.785082686982313760e-01
4.960897845459594464e+03 -5.646161951540485724e+00 4.784637816681570066e-01
4.961145892946404274e+03 -5.662387892068156958e+00 4.784193007786053942e-01
4.961393940433212265e+03 -5.679145746921639315e+00 4.783748260284048093e-01
4.961641987920022075e+03 -5.696243665077096452e+00 4.783303574163966232e-01
4.961890035406831885e+03 -5.713311769473456536e+00 4.782858949414108829e-01
4.962138082893641695e+03 -5.730946258291688800e+00 4.782414386022867392e-01
4.962386130380449686e+03 -5.749405244667636694e+00 4.781969883978569591e-01
4.962634177867259496e+03 -5.767892300167818398e+00 4.785758660181773649e-01
4.962882225354069305e+03 -5.786454281661066901e+00 4.790367787034416347e-01
4.963130272840877296e+03 -5.805750842440199122e+00 4.794977119320886771e-01
4.963378320327687106e+03 -5.824962798367189443e+00 4.804135063906307401e-01
4.963626367814496916e+03 -5.843882580708069874e+00 4.808462625469110963e-01
4.964122462788114717e+03 -5.884432949479311503e+00 4.809059494030947235e-01
4.964370510274924527e+03 -5.905397623001404028e+00 4.809482266630281111e-01
4.964618557761732518e+03 -5.927675528902133451e+00 4.809904995894197510e-01
4.964866605248542328e+03 -5.950893301735149521e+00 4.817971443301946599e-01
4.965114652735352138e+03 -5.973956915703967141e+00 4.832448778168139114e-01
4.965362700222160129e+03 -5.997544365288081991e+00 4.846931889409805683e-01
4.965610747708969939e+03 -6.021978297162445593e+00 4.861420782148097586e-01
4.965858795195779749e+03 -6.046751539353125260e+00 4.883836866743034300e-01
4.966106842682587740e+03 -6.072189601553100502e+00 4.906268280338926258e-01
