#Energy_(eV) f1 f2
4.969083412524298183e+03 -6.377315933920876923e+00 6.012251650040105755e-01
4.969331460011107993e+03 -6.400937415747058878e+00 5.893353130658909311e-01
4.969579507497917803e+03 -6.441064847390080672e+00 5.774964501488069057e-01
4.969827554984725793e+03 -6.494052093067138820e+00 5.802543644834249337e-01
4.970075602471535603e+03 -6.548934349482244954e+00 5.995818865785469409e-01
4.970323649958345413e+03 -6.595367613812853413e+00 6.362425778983749058e-01
4.970571697445153404e+03 -6.625569030707200824e+00 6.812670646803203889e-01
4.970819744931963214e+03 -6.631756326656495837e+00 7.270009144971372184e-01
4.971067792418773024e+03 -6.617749367378776171e+00 7.478319271763547160e-01
4.971315839905582834e+03 -6.614185472031658186e+00 7.374253058219075729e-01
4.971563887392390825e+03 -6.632556641953668120e+00 7.199289732116916918e-01
4.971811934879200635e+03 -6.668564783287641795e+00 7.025394467821881594e-01
4.972059982366010445e+03 -6.718465707940159959e+00 6.956673925246279477e-01
4.972308029852818436e+03 -6.774858948044253815e+00 6.996488200456952855e-01
4.972556077339628246e+03 -6.834184905424797840e+00 7.154141715167605664e-01
4.972804124826438056e+03 -6.894982778680809332e+00 7.424684489729262982e-01
4.973052172313246047e+03 -6.951896590432964373e+00 7.857237455675440962e-01
4.973300219800055856e+03 -6.994448559962848755e+00 8.407251648778998332e-01
4.973548267286865666e+03 -7.021763022975713753e+00 8.967619985199684063e-01
4.973796314773673657e+03 -7.035861148098973672e+00 9.516585434429840618e-01
4.974044362260483467e+03 -7.035124872318521128e+00 9.979269880011033544e-01
4.974292409747293277e+03 -7.030020998775517782e+00 1.027396019366994873e+00
4.974540457234101268e+03 -7.028933080504263131e+00 1.046929651923504512e+00
4.974788504720911078e+03 -7.032188955272919983e+00 1.060186071182054768e+00
4.975036552207720888e+03 -7.039625586168355653e+00 1.069574416522286686e+00
4.975284599694528879e+03 -7.051712649999184457e+00 1.076221197787834427e+00
4.975532647181338689e+03 -7.067697391869447898e+00 1.082882078697555039e+00
4.975780694668148499e+03 -7.085388307168596356e+00 1.090595139177518380e+00
4.976028742154956490e+03 -7.100735707720137846e+00 1.098326820104869261e+00
4.976276789641766300e+03 -7.114701548827446764e+00 1.100602310988278321e+00
4.976524837128576110e+03 -7.128688432461806279e+00 1.096712476424425153e+00
4.976772884615384100e+03 -7.147400576277559203e+00 1.082403849669323570e+00
4.977020932102193910e+03 -7.176046550103825084e+00 1.061397699410327577e+00
4.977268979589003720e+03 -7.217046751067711874e+00 1.036067241768283465e+00
4.977517027075811711e+03 -7.274271480238692966e+00 1.010947492471762743e+00
4.977765074562621521e+03 -7.344691784173127402e+00 9.962327217050276351e-01
4.978013122049431331e+03 -7.420775114107597048e+00 9.915376288103121549e-01
4.978261169536239322e+03 -7.497922447527711753e+00 9.964272642103315647e-01
4.978509217023049132e+03 -7.574074468916004221e+00 1.004079709869495129e+00
4.978757264509858942e+03 -7.653007395351236752e+00 1.011750738645740277e+00
4.979005311996666933e+03 -7.738580153966649000e+00 1.019614438279446311e+00
4.979253359483476743e+03 -7.832140884769732914e+00 1.030200382153539262e+00
4.979501406970286553e+03 -7.936396073132462092e+00 1.043361145299450676e+00
4.979749454457094544e+03 -8.054059196788248443e+00 1.065620723701861117e+00
4.979997501943904354e+03 -8.180528869113761203e+00 1.100716448668945358e+00
4.980245549430714163e+03 -8.317144699254674478e+00 1.148194316793309966e+00
4.980493596917523973e+03 -8.459126308572480823e+00 1.214232411908963361e+00
4.980741644404331964e+03 -8.610177397430115676e+00 1.293367860181196871e+00
4.980989691891141774e+03 -8.767122370198807246e+00 1.401238448454115826e+00
4.981237739377951584e+03 -8.922140221110486991e+00 1.532266208620598480e+00
4.981485786864759575e+03 -9.072365984247321435e+00 1.693351429278854736e+00
4.981733834351569385e+03 -9.210428389368313873e+00 1.879661469286912023e+00
4.981981881838379195e+03 -9.332171297908669061e+00 2.092525097755687735e+00
4.982229929325187186e+03 -9.437765584593606150e+00 2.325041075995848416e+00
4.982477976811996996e+03 -9.525247166843415769e+00 2.588131678024973681e+00
4.982726024298806806e+03 -9.582965980778835657e+00 2.880039270701904908e+00
4.982974071785614797e+03 -9.601721827262169384e+00 3.203384797594402755e+00
4.983222119272424607e+03 -9.559856919523626928e+00 3.554149238364896490e+00
4.983470166759234417e+03 -9.439631189429052327e+00 3.910976968894499528e+00
4.983718214246042407e+03 -9.226453281965243391e+00 4.246624961489700034e+00
4.983966261732852217e+03 -8.923230035363753032e+00 4.505117085668721266e+00
4.984214309219662027e+03 -8.597485946981928251e+00 4.646878213240573707e+00
4.984462356706470018e+03 -8.279250698503920702e+00 4.708851000031095246e+00
4.984710404193279828e+03 -8.012525135775620200e+00 4.667762127946709860e+00
4.984958451680089638e+03 -7.828699362047769839e+00 4.611183907191027664e+00
4.985206499166897629e+03 -7.685162827650001027e+00 4.551692894539685064e+00
4.985454546653707439e+03 -7.590565072307694727e+00 4.492929928867861022e+00
4.985702594140517249e+03 -7.523621307889942322e+00 4.468966362495781830e+00
4.985950641627325240e+03 -7.456561970935483785e+00 4.461532957049926473e+00
4.986198689114135050e+03 -7.391234542228878546e+00 4.464888392797568883e+00
4.986446736600944860e+03 -7.317311873736780825e+00 4.476709364196715057e+00
4.986694784087752851e+03 -7.238731654399073179e+00 4.480514551734574802e+00
4.986942831574562661e+03 -7.157775019693444207e+00 4.484322794169153248e+00
4.987190879061372470e+03 -7.068535877654075428e+00 4.473853611937887109e+00
4.987438926548180461e+03 -6.987766430252856154e+00 4.440300989247667474e+00
4.987686974034990271e+03 -6.929987279191689886e+00 4.393205522091025550e+00
4.987935021521800081e+03 -6.898511320640822397e+00 4.346575478146103677e+00
4.988183069008608072e+03 -6.887511714250731387e+00 4.311112916412630724e+00
4.988431116495417882e+03 -6.892271189574047163e+00 4.291419716966045961e+00
4.988679163982227692e+03 -6.902572752206005191e+00 4.295063846442294775e+00
4.988927211469035683e+03 -6.907515300193315610e+00 4.317150274484662376e+00
4.989175258955845493e+03 -6.899557357893200127e+00 4.352383039095643724e+00
4.989423306442655303e+03 -6.879477043698992489e+00 4.388975954868790552e+00
4.989671353929463294e+03 -6.848436596192117420e+00 4.425854114003653805e+00
4.989919401416273104e+03 -6.812235119109191217e+00 4.454849668174061250e+00
4.990167448903082914e+03 -6.768160287427306798e+00 4.481882601169741243e+00
4.990415496389892724e+03 -6.726451366989869562e+00 4.488224086906908994e+00
4.990663543876700714e+03 -6.699613322499307522e+00 4.493339406846963868e+00
4.990911591363510524e+03 -6.689228784519558602e+00 4.499696120957108469e+00
4.991159638850320334e+03 -6.683585304857312615e+00 4.530028570314891923e+00
4.991407686337128325e+03 -6.670243778729897599e+00 4.566809580852984496e+00
4.991655733823938135e+03 -6.649745364712323692e+00 4.615368572742782227e+00
4.991903781310747945e+03 -6.616219741494473006e+00 4.664419754465099821e+00
4.992151828797555936e+03 -6.574245139041328123e+00 4.711817598592118017e+00
4.992399876284365746e+03 -6.525659134285338503e+00 4.754492170020640174e+00
4.992647923771175556e+03 -6.474174308696668767e+00 4.795296580740440184e+00
4.992895971257983547e+03 -6.408079993289245380e+00 4.834087686300976294e+00
4.993144018744793357e+03 -6.342075830628007616e+00 4.848237023700361803e+00
4.993392066231603167e+03 -6.288199873400595941e+00 4.861126478785446459e+00
4.993640113718411158e+03 -6.239415451771742838e+00 4.871001204436276488e+00
4.993888161205220968e+03 -6.196720253461696970e+00 4.883950021892151661e+00
4.994136208692030777e+03 -6.158580692718481409e+00 4.901404589636372044e+00
4.994384256178838768e+03 -6.117959560974122191e+00 4.929576493731850029e+00
4.994632303665648578e+03 -6.067896940433928243e+00 4.960335918584999781e+00
4.994880351152458388e+03 -6.010521601245269352e+00 4.991285442990444743e+00
4.995128398639266379e+03 -5.940816786702923125e+00 5.019466295355294427e+00
4.995376446126076189e+03 -5.862365142613418456e+00 5.033215769465000378e+00
4.995872541099693990e+03 -5.721350537866394248e+00 5.031545566695132976e+00
4.996120588586503800e+03 -5.653161530864467821e+00 5.019866245795896909e+00
4.996368636073313610e+03 -5.593302992338784918e+00 5.004084415263752916e+00
4.996616683560121601e+03 -5.537041195557910633e+00 4.987053075467682284e+00
4.996864731046931411e+03 -5.485896025338838022e+00 4.965357168551206790e+00
4.997112778533741221e+03 -5.442519416108979158e+00 4.942143238327060928e+00
4.997360826020549212e+03 -5.407862333973159075e+00 4.920641324555845131e+00
4.997608873507359021e+03 -5.380577187197245870e+00 4.906618638854729042e+00
4.997856920994168831e+03 -5.351104989549484436e+00 4.900861990045171979e+00
4.998104968480976822e+03 -5.326703273603815347e+00 4.896800351276638708e+00
4.998353015967786632e+03 -5.297170426836898649e+00 4.914360825074293615e+00
4.998601063454596442e+03 -5.244693776713819311e+00 4.931983417666880420e+00
4.998849110941404433e+03 -5.177002987421236213e+00 4.936835214797258509e+00
4.999097158428214243e+03 -5.112537597624512209e+00 4.920895751554671627e+00
4.999345205915024053e+03 -5.056839448130513226e+00 4.904886278282304168e+00
4.999593253401833863e+03 -4.996341024769114902e+00 4.887611726251710920e+00
4.999841300888641854e+03 -4.928874949465168243e+00 4.857509491157552262e+00
5.000089348375451664e+03 -4.879796032204138712e+00 4.804962250217679198e+00
5.000585443349069465e+03 -4.810185646673134308e+00 4.728868371304788099e+00
5.001081538322689084e+03 -4.754992942652058296e+00 4.644038879067880821e+00
5.001577633296306885e+03 -4.725325128055241741e+00 4.560671707434305944e+00
5.002073728269924686e+03 -4.716408380187789184e+00 4.496146794196170582e+00
5.002569823243544306e+03 -4.715836917313379395e+00 4.450651946500771672e+00
5.003065918217162107e+03 -4.714542944717551087e+00 4.425272479559371419e+00
5.003562013190779908e+03 -4.709406954131449830e+00 4.408086992578883923e+00
5.004306155651207519e+03 -4.683346755955112073e+00 4.409137950997740418e+00
5.004802250624827138e+03 -4.650389693027351612e+00 4.410534315788693149e+00
5.005298345598444939e+03 -4.604502600386881639e+00 4.409496419686837143e+00
5.005794440572062740e+03 -4.552826916300359628e+00 4.391880462810247465e+00
5.006538583032490351e+03 -4.479407314722748445e+00 4.352361863403017672e+00
5.007034678006109971e+03 -4.441286587678666464e+00 4.306099766504774884e+00
5.007778820466537582e+03 -4.396328835947268310e+00 4.258587911974805351e+00
5.008274915440155382e+03 -4.372412134116705040e+00 4.213247049000826472e+00
5.008771010413775002e+03 -4.360746259643769385e+00 4.179225529502256897e+00
5.009515152874202613e+03 -4.336572591283429645e+00 4.146409303366134225e+00
5.010011247847820414e+03 -4.320048463563150420e+00 4.116468778889998958e+00
5.010755390308248025e+03 -4.297346971049804232e+00 4.086406587137889623e+00
5.011499532768675635e+03 -4.266436643692394171e+00 4.056000006968306870e+00
5.011995627742293436e+03 -4.248132711587031984e+00 4.026110315953702390e+00
5.012739770202721047e+03 -4.220110600257324762e+00 3.996107862266985666e+00
5.013235865176340667e+03 -4.200297433373600064e+00 3.962498628355894947e+00
5.013980007636768278e+03 -4.178426820641095496e+00 3.920480300979057198e+00
5.014724150097195889e+03 -4.158174369987923669e+00 3.870980616994067702e+00
5.015468292557623499e+03 -4.142947159389347433e+00 3.818214718380438910e+00
5.015964387531241300e+03 -4.147160691545926703e+00 3.766369464851472948e+00
5.016708529991668911e+03 -4.170481115684293805e+00 3.725032005552720626e+00
5.017452672452096522e+03 -4.195730130363012123e+00 3.691777591446976814e+00
5.018196814912524133e+03 -4.217082788563343954e+00 3.681525129014165287e+00
5.018940957372951743e+03 -4.227482978257864232e+00 3.672795540535471304e+00
5.019685099833379354e+03 -4.231816864426931168e+00 3.665435739542898474e+00
5.020429242293806965e+03 -4.230730577623170063e+00 3.658089310989282694e+00
5.021173384754234576e+03 -4.222625282961240956e+00 3.646650414801903217e+00
5.021917527214662186e+03 -4.217579168523449162e+00 3.620323996683486811e+00
5.022661669675089797e+03 -4.222669595635550444e+00 3.593260663305168912e+00
5.023405812135517408e+03 -4.236892224803328055e+00 3.566368837193297558e+00
5.024149954595945019e+03 -4.261781341740314311e+00 3.546598899606245858e+00
5.024894097056372630e+03 -4.288030804216266922e+00 3.542562965836315136e+00
5.025638239516800240e+03 -4.311155477045153894e+00 3.543991948572850603e+00
5.026382381977227851e+03 -4.328697434459353843e+00 3.555612454083846075e+00
5.027374571924465272e+03 -4.341903476770212933e+00 3.569630206226570124e+00
5.028118714384892883e+03 -4.346597893275396807e+00 3.583966717834262461e+00
5.028862856845320493e+03 -4.343940468441755520e+00 3.595256343573846713e+00
5.029855046792557914e+03 -4.336642161456881972e+00 3.601385093070724075e+00
5.030599189252985525e+03 -4.332496275787817375e+00 3.598318011653793391e+00
5.031343331713413136e+03 -4.332912477414443408e+00 3.592968002685647200e+00
5.032335521660650556e+03 -4.339553780710860842e+00 3.585378568256787357e+00
5.033079664121078167e+03 -4.349945203886842471e+00 3.578076043990946697e+00
5.034071854068313769e+03 -4.373825198374367673e+00 3.570948827376475343e+00
5.034815996528741380e+03 -4.399587397114641973e+00 3.573045225566102268e+00
5.035808186475978800e+03 -4.443110937621978174e+00 3.584365192452389604e+00
5.036552328936406411e+03 -4.473330173522435338e+00 3.620536514928389238e+00
5.037544518883643832e+03 -4.503964969215275005e+00 3.663070918774240958e+00
5.038288661344071443e+03 -4.516489910717622180e+00 3.721740210332677545e+00
5.039280851291308863e+03 -4.508585757911967917e+00 3.783454792579051151e+00
5.040273041238544465e+03 -4.488116032985919546e+00 3.846046026981055022e+00
5.041017183698972076e+03 -4.457990257033139336e+00 3.887702968616142396e+00
5.042009373646209497e+03 -4.413833403044649550e+00 3.918100960505368047e+00
5.043001563593446917e+03 -4.378627390517754847e+00 3.934668411431211155e+00
5.043993753540682519e+03 -4.350864102880247941e+00 3.950488448923340279e+00
5.044737896001110130e+03 -4.329862303006049018e+00 3.963097860114164650e+00
5.045730085948347551e+03 -4.304483282312183690e+00 3.971549032256271872e+00
5.046722275895584971e+03 -4.287382140447754786e+00 3.975116342232694500e+00
5.047714465842822392e+03 -4.283293856964144553e+00 3.978687049370855711e+00
5.048706655790057994e+03 -4.290589707329872660e+00 3.996375447249732371e+00
5.049698845737295414e+03 -4.293429597675023857e+00 4.035092450436461142e+00
5.050691035684532835e+03 -4.284621004902396280e+00 4.077797923433177374e+00
5.051683225631768437e+03 -4.271038509021848562e+00 4.120908749113087133e+00
5.052675415579005858e+03 -4.252445993008071135e+00 4.170506894165437295e+00
5.053667605526243278e+03 -4.224775230360500622e+00 4.224930596311637920e+00
5.054659795473478880e+03 -4.186138941471519992e+00 4.282073188568454647e+00
5.055651985420716301e+03 -4.135995989631917169e+00 4.337834970964614456e+00
5.056644175367953721e+03 -4.070820567727415629e+00 4.393973511127757803e+00
5.057884412801999133e+03 -3.972048090760750494e+00 4.447953935826824967e+00
5.058876602749236554e+03 -3.876957875170853995e+00 4.484247513980306188e+00
5.059868792696473975e+03 -3.769274571471069812e+00 4.496956396092965491e+00
5.060860982643709576e+03 -3.656701664025858278e+00 4.488823027712365743e+00
5.062101220077756807e+03 -3.517870293963278439e+00 4.443421178203925237e+00
5.063093410024992409e+03 -3.422638836733715273e+00 4.363534201022401859e+00
5.064085599972229829e+03 -3.365201924934204669e+00 4.270811777774724760e+00
5.065325837406277060e+03 -3.320321729709031722e+00 4.174355869823100917e+00
5.066318027353512662e+03 -3.306632029329885203e+00 4.080200179150923034e+00
5.067558264787559892e+03 -3.315901383850348161e+00 3.992596285729085093e+00
5.068550454734795494e+03 -3.343667553514651836e+00 3.917970979496801842e+00
5.069790692168842725e+03 -3.394277561237112106e+00 3.869075208219324047e+00
5.070782882116078326e+03 -3.438204716038495867e+00 3.836591601204725421e+00
5.072023119550125557e+03 -3.502980002467251275e+00 3.817192769031518829e+00
5.073263356984170969e+03 -3.584060470482479221e+00 3.823788895554588674e+00
5.074255546931408389e+03 -3.636894834171203517e+00 3.889443352726485337e+00
5.075495784365453801e+03 -3.652994570522777984e+00 3.973727345707051661e+00
5.076736021799501032e+03 -3.636215317726581908e+00 4.059634599067172722e+00
5.077728211746736633e+03 -3.591875294887982406e+00 4.130977654416623679e+00
5.078968449180783864e+03 -3.509585165806494267e+00 4.181355374114366086e+00
5.080208686614829276e+03 -3.419064740239506683e+00 4.201626269743076847e+00
5.081448924048874687e+03 -3.334846885876350253e+00 4.189923710236306498e+00
5.082441113996112108e+03 -3.276927501696298428e+00 4.171507202629166855e+00
5.083681351430159339e+03 -3.212630244853915240e+00 4.140670310115435626e+00
5.084921588864204750e+03 -3.154914333331430232e+00 4.099361868106393025e+00
5.086161826298250162e+03 -3.111450476472844340e+00 4.043317880224270411e+00
5.087402063732297393e+03 -3.085027965934845628e+00 3.987969306550745774e+00
5.088642301166342804e+03 -3.071418010771723939e+00 3.932422703727444624e+00
5.089882538600388216e+03 -3.070565740318425441e+00 3.879727033047526419e+00
5.091122776034435446e+03 -3.090966163984435688e+00 3.827658981796163040e+00
5.092363013468480858e+03 -3.120910450781370749e+00 3.811197189242680139e+00
5.093603250902528089e+03 -3.142645875914651832e+00 3.807175384693572084e+00
5.095091535823383310e+03 -3.152579707611917748e+00 3.821792558332333556e+00
5.096331773257428722e+03 -3.142031784337374400e+00 3.836729882753360243e+00
5.097572010691474134e+03 -3.118176151798162099e+00 3.841290366452912775e+00
5.098812248125521364e+03 -3.087389914007583780e+00 3.833998630943695307e+00
5.100052485559566776e+03 -3.058845474447908330e+00 3.808350005145316519e+00
5.101540770480421997e+03 -3.038659602535737747e+00 3.766738283713742419e+00
5.102781007914469228e+03 -3.036013600968765047e+00 3.725788473126344424e+00
5.104021245348514640e+03 -3.047567524342837064e+00 3.689687479751477817e+00
5.105509530269369861e+03 -3.067763370728191497e+00 3.660426874062156166e+00
5.106749767703415273e+03 -3.091061174326853678e+00 3.636076185237649749e+00
5.108238052624270495e+03 -3.124208135877545089e+00 3.624627035351705384e+00
5.109478290058317725e+03 -3.152380826257854096e+00 3.620270542197541186e+00
5.110966574979172947e+03 -3.184440688698853439e+00 3.627870851890863335e+00
5.112206812413218358e+03 -3.206110866830795825e+00 3.641346430473357820e+00
5.113695097334073580e+03 -3.229473876671522081e+00 3.657834796120002174e+00
5.114935334768120811e+03 -3.246142973610624871e+00 3.681237971892786121e+00
5.116423619688976032e+03 -3.257045760494680753e+00 3.711184677978300428e+00
5.117911904609831254e+03 -3.262116419386428490e+00 3.741340341989860541e+00
5.119152142043876665e+03 -3.261331449712978170e+00 3.768860421307423714e+00
5.120640426964731887e+03 -3.257045858051290210e+00 3.796296146837068175e+00
5.122128711885587109e+03 -3.253653205249682046e+00 3.824741418938212512e+00
5.123368949319634339e+03 -3.248742678741869394e+00 3.854016431879562887e+00
5.124857234240489561e+03 -3.237133050783041810e+00 3.890501502967012915e+00
5.126345519161344782e+03 -3.220522893300350908e+00 3.930530360396064182e+00
5.127833804082200004e+03 -3.193585700729153043e+00 3.976182729623797041e+00
5.129322089003055225e+03 -3.149230297557613412e+00 4.022310369828669074e+00
5.130810373923910447e+03 -3.087264672198517523e+00 4.055027048203682760e+00
5.132298658844765669e+03 -3.019857525779782836e+00 4.063829209887714455e+00
5.133786943765620890e+03 -2.958714263462402627e+00 4.055667138345849132e+00
5.135275228686476112e+03 -2.907174245474137830e+00 4.037573795230929186e+00
5.136763513607331333e+03 -2.863417413086221774e+00 4.016045920999783192e+00
5.138251798528186555e+03 -2.827326250374186944e+00 3.988631920915557405e+00
5.139740083449041776e+03 -2.799918590935291274e+00 3.961275836712414566e+00
5.141228368369896998e+03 -2.778594670644462195e+00 3.934193019639848909e+00
5.142716653290752220e+03 -2.763865735888165975e+00 3.907278415527114745e+00
5.144204938211607441e+03 -2.755681078452757671e+00 3.884562844593355102e+00
5.145693223132462663e+03 -2.748892359225060478e+00 3.869893522063262647e+00
5.147429555540127694e+03 -2.738885157304803641e+00 3.855015769104833012e+00
5.148917840460982916e+03 -2.731940699344609591e+00 3.840766925860429559e+00
5.150406125381838137e+03 -2.725616323311985667e+00 3.832558590810603238e+00
5.152142457789503169e+03 -2.714203039959728780e+00 3.824155186562256947e+00
5.153630742710358390e+03 -2.700465480668253537e+00 3.816026215274899158e+00
5.155119027631213612e+03 -2.688781603559426081e+00 3.799112712629327593e+00
5.156855360038878644e+03 -2.680409580300053829e+00 3.781552147243702588e+00
5.158343644959733865e+03 -2.676564413685221133e+00 3.763992626447357992e+00
5.160079977367398897e+03 -2.676430497282114018e+00 3.746255562395228722e+00
5.161568262288254118e+03 -2.681596724225920880e+00 3.728853519466974742e+00
5.163304594695917331e+03 -2.701425288747877573e+00 3.712614300268762157e+00
5.164792879616772552e+03 -2.721425045152672695e+00 3.721585639850560234e+00
5.166529212024437584e+03 -2.730925271711171387e+00 3.741595847260361207e+00
5.168017496945292805e+03 -2.726545108763873682e+00 3.761948734775134362e+00
5.169753829352957837e+03 -2.714326108993206255e+00 3.774006444803938098e+00
5.171490161760622868e+03 -2.703567881275345641e+00 3.783038016796066216e+00
5.173226494168286081e+03 -2.694112542938809085e+00 3.792089630782032650e+00
5.174714779089141302e+03 -2.683863556353644597e+00 3.804557903261768015e+00
5.176451111496806334e+03 -2.667547760189487693e+00 3.816812205019043169e+00
5.178187443904471365e+03 -2.648112844421774970e+00 3.829956321470379788e+00
5.179923776312136397e+03 -2.624157656432041907e+00 3.843141500066927119e+00
5.181660108719799609e+03 -2.592233061027062746e+00 3.856367969316818467e+00
5.183148393640654831e+03 -2.551795185012638356e+00 3.863986076883361598e+00
