#theta Bragg001
2.283771499999999932e+01 8.198449027282329188e-03
2.283971500000000177e+01 8.940785551738687428e-03
2.284171500000000066e+01 8.625228373090555387e-03
2.284371499999999955e+01 9.893700919397467944e-03
2.284571499999999844e+01 6.943717806769136164e-03
2.284771500000000088e+01 1.094507037754354796e-02
2.284971499999999978e+01 9.784329556569736075e-03
2.285171499999999867e+01 7.782105578731336390e-03
2.285371500000000111e+01 8.630675312385212294e-03
2.285571500000000000e+01 9.885377267346232705e-03
2.285771499999999889e+01 8.617976473249805078e-03
2.285971500000000134e+01 1.009995313336172103e-02
2.286171500000000023e+01 1.051857122436215125e-02
2.286371499999999912e+01 1.061817248002638360e-02
2.286571500000000157e+01 9.884337795498984378e-03
2.286771500000000046e+01 1.146644864557401500e-02
2.286971499999999935e+01 1.009676635807773941e-02
2.287171499999999824e+01 1.136723090462336654e-02
2.287371500000000069e+01 1.200000684417286412e-02
2.287571499999999958e+01 1.179320447743860412e-02
2.287771499999999847e+01 1.063382360812917954e-02
2.287971500000000091e+01 1.200127013576610460e-02
2.288171499999999980e+01 1.137561205233058627e-02
2.288371499999999870e+01 1.294737570678503903e-02
2.288571500000000114e+01 1.379819606164666909e-02
2.288771500000000003e+01 1.106778314824694714e-02
2.288971499999999892e+01 1.337828624374440799e-02
2.289171500000000137e+01 1.358896801951685156e-02
2.289371500000000026e+01 1.306776996674653170e-02
2.289571499999999915e+01 1.527442134192612613e-02
2.289771500000000160e+01 1.559372920622827466e-02
2.289971500000000049e+01 1.432182766498328597e-02
2.290171499999999938e+01 1.411269884219918704e-02
2.290371499999999827e+01 1.190727744175283653e-02
2.290571500000000071e+01 1.749579409605308070e-02
2.290771499999999961e+01 1.539922811928116572e-02
2.290971499999999850e+01 1.570074645904241673e-02
2.291171500000000094e+01 1.495682322535252934e-02
2.291371499999999983e+01 1.570902307815630339e-02
2.291571499999999872e+01 1.486088529737530743e-02
2.291771500000000117e+01 1.560359345243147490e-02
2.291971500000000006e+01 1.865712011997125094e-02
2.292171499999999895e+01 1.769166958544141077e-02
2.292371500000000140e+01 1.623103773120998516e-02
2.292571500000000029e+01 1.813008290089168639e-02
2.292771499999999918e+01 1.917203231570450625e-02
2.292971500000000162e+01 1.854584811150339699e-02
2.293171500000000052e+01 1.971119477921268182e-02
2.293371499999999941e+01 2.024036548258470111e-02
2.293571499999999830e+01 2.224566451680301538e-02
2.293771500000000074e+01 2.392497044184710778e-02
2.293971499999999963e+01 2.119360114508877374e-02
2.294171499999999853e+01 2.265543892069860413e-02
2.294371500000000097e+01 2.065333099711423939e-02
2.294571499999999986e+01 2.391488827984043081e-02
2.294771499999999875e+01 2.475509705377729880e-02
2.294971500000000120e+01 2.350338660799876009e-02
2.295171500000000009e+01 2.517911343459114382e-02
2.295371499999999898e+01 2.455217409238063739e-02
2.295571500000000142e+01 2.625199206337787416e-02
2.295771500000000032e+01 2.656828160393912355e-02
2.295971499999999921e+01 2.855338203729372581e-02
2.296171500000000165e+01 3.151018713196514914e-02
2.296371500000000054e+01 3.024875226606256809e-02
2.296571499999999943e+01 3.013065311873091429e-02
2.296771499999999833e+01 3.055850029427029449e-02
2.296971500000000077e+01 3.489354742400496007e-02
2.297171499999999966e+01 3.341768737871387424e-02
2.297371499999999855e+01 3.457729122621627793e-02
2.297571500000000100e+01 3.575197075187675627e-02
2.297771499999999989e+01 3.669726938162667235e-02
2.297971499999999878e+01 3.542810843284183858e-02
2.298171500000000123e+01 3.775975166606536371e-02
2.298371500000000012e+01 4.060327148574355977e-02
2.298571499999999901e+01 3.955281301843903419e-02
2.298771500000000145e+01 4.319884424347903568e-02
2.298971500000000034e+01 4.891421674874223829e-02
2.299171499999999924e+01 5.345285053715028573e-02
2.299371500000000168e+01 5.027935768639109348e-02
2.299571500000000057e+01 4.930470590689002564e-02
2.299771499999999946e+01 4.954150655244184132e-02
2.299971499999999835e+01 5.577230274535435739e-02
2.300171500000000080e+01 5.563168153432496849e-02
2.300371499999999969e+01 5.689603768170834602e-02
2.300571499999999858e+01 6.066993124032219603e-02
2.300771500000000103e+01 5.993893526954221368e-02
2.300971499999999992e+01 6.296728771090182031e-02
2.301171499999999881e+01 6.430905564494873716e-02
2.301371500000000125e+01 6.822492875748481511e-02
2.301571500000000015e+01 7.103024182052461444e-02
2.301771499999999904e+01 7.464733590335616287e-02
2.301971500000000148e+01 7.368425247447206450e-02
2.302171500000000037e+01 8.514898003708147589e-02
2.302371499999999926e+01 8.329827743818961350e-02
2.302571500000000171e+01 8.778952313887898595e-02
2.302771500000000060e+01 9.312341176752250704e-02
2.302971499999999949e+01 9.571793740267536821e-02
2.303171499999999838e+01 1.030322683370944459e-01
2.303371500000000083e+01 1.056774645826305259e-01
2.303571499999999972e+01 1.108778454282480785e-01
2.303771499999999861e+01 1.194500520627276713e-01
2.303971500000000106e+01 1.238335612108533296e-01
2.304171499999999995e+01 1.368167812907738756e-01
2.304371499999999884e+01 1.401154427558659321e-01
2.304571500000000128e+01 1.525797848653614175e-01
2.304771500000000017e+01 1.699004616555175595e-01
2.304971499999999907e+01 1.828770298079758494e-01
2.305171500000000151e+01 1.934740358954422368e-01
2.305371500000000040e+01 1.964343004715396190e-01
2.305571499999999929e+01 2.190876950656494571e-01
2.305771500000000174e+01 2.229794726103606350e-01
2.305971500000000063e+01 2.418713355335946336e-01
2.306171499999999952e+01 2.745017359593022732e-01
2.306371499999999841e+01 2.852646548890930833e-01
2.306571500000000086e+01 3.280692517827892840e-01
2.306771499999999975e+01 3.673407067159583095e-01
2.306971499999999864e+01 3.911122667252914242e-01
2.307171500000000108e+01 4.453333113923979014e-01
2.307371499999999997e+01 4.817859031901184919e-01
2.307571499999999887e+01 5.443534503848287409e-01
2.307771500000000131e+01 6.190630042983903403e-01
2.307971500000000020e+01 7.078028530728196488e-01
2.308171499999999909e+01 8.102563329545509063e-01
2.308371500000000154e+01 9.618832375684979175e-01
2.308571500000000043e+01 1.127631101882799358e+00
2.308771499999999932e+01 1.345397920237994871e+00
2.308971500000000177e+01 1.611445107954159406e+00
2.309171500000000066e+01 2.008833928835049853e+00
2.309371499999999955e+01 2.529982399465313669e+00
2.309571499999999844e+01 3.284528272560573559e+00
2.309771500000000088e+01 4.412826131330214174e+00
2.309971499999999978e+01 5.979694006395321892e+00
2.310171499999999867e+01 8.494477798691102421e+00
2.310371500000000111e+01 1.200253450362592389e+01
2.310571500000000000e+01 1.741544786760973906e+01
2.310771499999999889e+01 2.493463243496250925e+01
2.310971500000000134e+01 3.512945585937385573e+01
2.311171500000000023e+01 4.924291811588272338e+01
2.311371499999999912e+01 6.510971960263213987e+01
2.311571500000000157e+01 8.296484818926988680e+01
2.311771500000000046e+01 9.861845542122627251e+01
2.311971499999999935e+01 1.099326006212280475e+02
2.312171499999999824e+01 1.142668373313819501e+02
2.312371500000000069e+01 1.106586151395850237e+02
2.312571499999999958e+01 9.964357526823431499e+01
2.312771499999999847e+01 8.481045875781508414e+01
2.312971500000000091e+01 7.122020027459872438e+01
2.313171499999999980e+01 6.139695959034218475e+01
2.313371499999999870e+01 5.641545026440231680e+01
2.313571500000000114e+01 5.363123744883992572e+01
2.313771500000000003e+01 5.172739701486650432e+01
2.313971499999999892e+01 5.007143377016640073e+01
2.314171500000000137e+01 4.902671077783539033e+01
